x,y,class
1.4897,1.5963,1
1.7845,2.3978,1
0.48521,3.2021,1
0.25919,0.42028,1
0.45014,3.2858,1
0.70003,3.3643,1
0.57417,1.418,1
1.855,1.7203,1
0.10263,2.289,1
1.1853,2.8033,1
0.3258,2.9699,1
1.6768,3.0315,1
0.33512,1.5565,1
1.0044,1.7172,1
1.9987,3.8254,1
0.71081,2.2919,1
0.094155,3.3989,1
0.42732,1.1054,1
0.79568,2.4893,1
0.66734,2.3534,1
0.45921,3.8539,1
1.8722,0.34361,1
1.3664,2.002,1
1.9242,2.0864,1
0.87595,0.36066,1
1.8807,3.6187,1
0.011669,3.5376,1
1.2206,1.756,1
1.6022,3.1269,1
0.46596,0.59386,1
1.8649,2.4793,1
1.5265,1.0425,1
1.6529,1.7826,1
1.1469,3.376,1
1.5852,0.78482,1
0.65808,1.2154,1
0.44692,1.9332,1
0.62477,1.3512,1
1.169,3.1939,1
1.6598,3.95,1
0.58092,0.63619,1
0.80511,0.94752,1
1.7241,2.8089,1
1.2295,1.5019,1
1.9824,3.8948,1
0.4074,3.8892,1
1.6544,2.5748,1
1.3517,3.4404,1
0.4979,1.6075,1
0.95157,2.5277,1
3.9705,1.3026,4
3.119,2.5208,4
3.8672,0.9212,4
3.4407,2.3195,4
2.9681,2.4126,4
3.2781,2.3995,4
3.7753,1.7937,4
2.3975,0.14169,4
2.7907,2.0553,4
3.9844,1.6309,4
2.8047,0.43218,4
3.3177,1.8395,4
3.8027,1.8035,4
3.9908,2.2046,4
3.3063,3.2216,4
2.2169,2.8034,4
2.0722,3.4889,4
3.2362,0.20877,4
3.1343,0.87873,4
3.9239,1.8386,4
3.4922,3.8341,4
3.325,3.1602,4
3.0466,1.8075,4
2.5198,1.3337,4
3.924,0.23638,4
3.0804,2.9636,4
2.0605,2.0272,4
3.3926,0.7997,4
3.0394,1.7088,4
2.1181,0.67476,4
3.7801,3.0068,4
2.6604,1.4734,4
2.4594,3.7673,4
2.2279,0.06869,4
2.6218,3.3162,4
2.4569,2.5064,4
3.304,2.155,4
2.1323,2.602,4
2.5509,2.9065,4
2.5636,0.37795,4
3.7601,3.5103,4
2.8887,0.057449,4
3.5118,1.1772,4
3.2066,0.71966,4
3.5665,3.7052,4
2.2279,0.27272,4
3.9571,2.3244,4
3.6972,2.5486,4
2.1013,2.6051,4
2.9324,3.4585,4
1.007,1.0131,2
1.1021,1.1073,2
1.0661,1.0873,2
1.0868,1.0917,2
1.0266,1.0813,2
1.0679,1.0645,2
1.0878,1.0408,2
1.1196,1.0827,2
1.0556,1.0147,2
1.0107,1.0185,2
1.0072,1.0025,2
1.0787,1.1205,2
1.0995,1.1213,2
1.0864,1.0155,2
1.0432,1.0584,2
1.1184,1.0821,2
1.065,1.0363,2
1.1192,1.0943,2
1.0092,1.0698,2
1.0259,1.0535,2
1.0969,1.0334,2
1.1143,1.0942,2
1.0978,1.1123,2
1.0369,1.0911,2
1.019,1.0509,2
1.106,1.1173,2
1.0981,1.0319,2
1.0339,1.0666,2
1.0285,1.1193,2
1.0401,1.0335,2
1.1037,1.0313,2
1.1028,1.116,2
1.0713,1.0086,2
1.0715,1.0374,2
1.0358,1.0739,2
1.0874,1.0254,2
1.0995,1.0795,2
1.0552,1.0998,2
1.0558,1.0627,2
1.0582,1.0814,2
1.0349,1.0995,2
1.0844,1.0292,2
1.113,1.0751,2
1.1136,1.0141,2
1.0934,1.0645,2
1.0326,1.1047,2
1.0862,1.1151,2
1.0165,1.0623,2
1.0154,1.0347,2
1.0239,1.0816,2
1.0182,1.1147,2
1.0731,1.0637,2
1.0092,1.1218,2
1.1028,1.0247,2
1.0904,1.0139,2
1.1157,1.0372,2
1.0616,1.0496,2
1.0819,1.0526,2
1.1113,1.0389,2
1.0673,1.0867,2
1.0353,1.0115,2
1.122,1.0503,2
1.0046,1.0369,2
1.0408,1.0383,2
1.1216,1.0132,2
1.0456,1.0742,2
1.0386,1.0353,2
1.0151,1.0194,2
1.1145,1.0001,2
1.0169,1.0354,2
1.0415,1.0689,2
1.1122,1.1089,2
1.0625,1.0053,2
1.0769,1.1131,2
1.0729,1.0164,2
1.0873,1.1042,2
1.0037,1.1001,2
1.066,1.1147,2
1.004,1.0172,2
1.1034,1.0631,2
1.0425,1.0506,2
1.1058,1.0217,2
1.0308,1.0719,2
1.0727,1.0758,2
1.1172,1.0268,2
1.006,1.065,2
1.0067,1.1236,2
1.0026,1.0612,2
1.0852,1.0869,2
1.0748,1.0514,2
1.0143,1.0043,2
1.0995,1.0366,2
1.0772,1.1002,2
1.0088,1.0433,2
1.0087,1.0104,2
1.017,1.0639,2
1.0986,1.0459,2
1.0115,1.0924,2
1.0297,1.0656,2
1.0305,1.1006,2
1.1021,3.107,3
1.0237,3.0838,3
1.0155,3.0654,3
1.1026,3.0374,3
1.0797,3.088,3
1.002,3.0477,3
1.112,3.071,3
1.0644,3.111,3
1.0681,3.1054,3
1.0758,3.1123,3
1.0951,3.1174,3
1.1069,3.1019,3
1.0479,3.0002,3
1.0106,3.0004,3
1.0917,3.0109,3
1.0415,3.0326,3
1.105,3.0028,3
1.0465,3.053,3
1.1035,3.0426,3
1.0221,3.0677,3
1.0162,3.1158,3
1.11,3.0373,3
1.0055,3.0423,3
1.0858,3.1074,3
1.0917,3.0426,3
1.0546,3.0173,3
1.0475,3.0635,3
1.1225,3.1071,3
1.0499,3.048,3
1.055,3.087,3
1.0196,3.0785,3
1.0408,3.0563,3
1.0393,3.0592,3
1.1118,3.1187,3
1.0309,3.0104,3
1.0388,3.035,3
1.0511,3.0559,3
1.0885,3.0734,3
1.018,3.1097,3
1.1089,3.0586,3
1.0104,3.0547,3
1.0577,3.0933,3
1.0038,3.0585,3
1.0942,3.1076,3
1.0875,3.0583,3
1.0268,3.0623,3
1.085,3.0609,3
1.0697,3.0287,3
1.1063,3.0107,3
1.0698,3.0084,3
1.1127,3.111,3
1.0524,3.0291,3
1.0448,3.1077,3
1.0611,3.089,3
1.032,3.1091,3
1.1161,3.1173,3
1.0583,3.0175,3
1.0318,3.0492,3
1.0539,3.1226,3
1.0878,3.0806,3
1.0503,3.1121,3
1.0227,3.0603,3
1.107,3.0018,3
1.073,3.0779,3
1.0467,3.0289,3
1.0277,3.0659,3
1.0274,3.0906,3
1.0653,3.0759,3
1.0542,3.0735,3
1.0927,3.0542,3
1.0088,3.0305,3
1.1059,3.0536,3
1.085,3.0013,3
1.0171,3.0761,3
1.1073,3.1197,3
1.025,3.0119,3
1.0759,3.0044,3
1.0679,3.1108,3
1.0203,3.0309,3
1.0007,3.0011,3
1.0964,3.1019,3
1.0956,3.0176,3
1.0526,3.11,3
1.0071,3.0119,3
1.0732,3.0441,3
1.0218,3.0742,3
1.0911,3.0731,3
1.0668,3.0835,3
1.0316,3.081,3
1.1146,3.0542,3
1.0948,3.0175,3
1.1109,3.094,3
1.0086,3.0302,3
1.0229,3.0813,3
1.0921,3.1072,3
1.0871,3.0105,3
1.0971,3.1215,3
1.0627,3.0039,3
1.0532,3.1044,3
1.0764,3.1045,3
3.061,2.0853,5
3.0622,2.0448,5
3.117,2.1234,5
3.0487,2.0105,5
3.0146,2.0313,5
3.0301,2.1014,5
3.0856,2.0106,5
3.1049,2.0664,5
3.1213,2.1001,5
3.0269,2.0924,5
3.095,2.0177,5
3.073,2.0547,5
3.0504,2.0438,5
3.0638,2.0598,5
3.062,2.0734,5
3.0814,2.0182,5
3.093,2.1132,5
3.0377,2.08,5
3.0112,2.0204,5
3.1032,2.0707,5
3.0487,2.1165,5
3.0969,2.0979,5
3.0224,2.0857,5
3.0137,2.0583,5
3.1131,2.0325,5
3.1095,2.0712,5
3.125,2.0311,5
3.108,2.0399,5
3.0046,2.1139,5
3.0681,2.1107,5
3.1247,2.0993,5
3.0639,2.1157,5
3.1092,2.0224,5
3.0088,2.0647,5
3.1234,2.0784,5
3.1153,2.1141,5
3.0705,2.083,5
3.0539,2.0486,5
3.0422,2.0925,5
3.0901,2.1022,5
3.0017,2.075,5
3.0468,2.0106,5
3.1153,2.1153,5
3.0683,2.0067,5
3.0592,2.0659,5
3.0621,2.0149,5
3.0386,2.0475,5
3.1189,2.1016,5
3.1227,2.0305,5
3.0642,2.1106,5
3.1241,2.0891,5
3.057,2.0473,5
3.0533,2.0311,5
3.0267,2.0316,5
